cid,inference,postprocess_preds,prepare_input,process_case,read_brain_mask,read_image,save_time_vessel_map,totalsegmentator,brain_segmentation,io,generator,postprocessing,case_total
ukb_0378,105.6964,0.2017,1.6574,72.711,0.1333,1.3389,0.1325,34.0999,34.0999,1.4722,107.3538,72.9127,215.8385
fast_0246,147.2834,0.0994,0.893,33.3905,0.0837,0.6612,0.0642,32.934,32.934,0.7448,148.1764,33.49,215.3452
ukb_0437,108.8658,0.1805,1.4724,68.2442,0.1261,1.1069,0.1092,34.1014,34.1014,1.2331,110.3382,68.4248,214.0974
ukb_0376,108.7782,0.2046,1.9817,67.2646,0.1894,1.5153,0.1239,34.077,34.077,1.7047,110.7599,67.4692,214.0108
ukb_0003,107.0837,0.1947,1.544,69.0295,0.1316,1.2622,0.1262,33.8168,33.8168,1.3939,108.6277,69.2242,213.0626
ukb_0384,104.7582,0.1946,1.5753,71.0796,0.1183,1.2219,0.1343,33.9798,33.9798,1.3402,106.3335,71.2742,212.9277
ukb_0098,100.9521,0.187,1.5612,75.2838,0.1191,1.1516,0.1254,33.6641,33.6641,1.2708,102.5133,75.4709,212.919
fast_0063,147.7816,0.1092,0.7966,29.9107,0.0895,0.6721,0.0747,33.4841,33.4841,0.7615,148.5782,30.0199,212.8437
ukb_0030,105.8334,0.1937,1.4757,70.3135,0.1233,1.0535,0.1304,33.8173,33.8173,1.1768,107.3091,70.5072,212.8104
ukb_0219,107.2701,0.2008,1.5763,68.2128,0.1113,1.0895,0.1219,34.083,34.083,1.2008,108.8464,68.4136,212.5438
ukb_0065,110.3959,0.1969,1.5844,63.4607,0.1376,1.2565,0.1285,34.4219,34.4219,1.3941,111.9804,63.6576,211.4539
ukb_0419,109.4904,0.2149,1.6555,64.4309,0.1184,1.2543,0.1196,34.2366,34.2366,1.3728,111.1459,64.6458,211.4011
ukb_0149,103.5815,0.2001,1.545,69.3304,0.1179,1.3041,0.1253,34.0321,34.0321,1.422,105.1265,69.5305,210.1111
ukb_0434,105.127,0.1937,1.5184,67.3919,0.1502,1.1657,0.117,33.8337,33.8337,1.3159,106.6454,67.5856,209.3806
ukb_0427,113.2067,0.1968,1.5619,58.6074,0.1373,1.2297,0.1371,34.4141,34.4141,1.367,114.7685,58.8042,209.3538
ukb_0115,113.7571,0.1972,1.4804,58.0497,0.1173,1.1856,0.1273,34.5598,34.5598,1.3029,115.2375,58.2469,209.3471
ukb_0329,105.6443,0.1923,1.6141,65.995,0.1122,1.1513,0.1259,33.9791,33.9791,1.2635,107.2584,66.1873,208.6883
ukb_0106,106.1089,0.1916,1.5211,63.7793,0.1194,1.2724,0.1197,33.7963,33.7963,1.3918,107.63,63.9709,206.789
fast_0289,122.1546,0.1432,1.2051,47.9831,0.0908,0.9841,0.0888,33.5268,33.5268,1.0749,123.3597,48.1263,206.0878
fast_0265,125.132,0.1561,1.3208,43.9492,0.1035,1.169,0.0931,33.7601,33.7601,1.2725,126.4528,44.1054,205.5908
ukb_0062,104.2992,0.1866,1.4011,63.8349,0.1106,1.1904,0.1205,34.0576,34.0576,1.301,105.7003,64.0215,205.0804
ukb_0184,107.0206,0.196,1.5559,60.3254,0.1151,1.1866,0.1198,34.0754,34.0754,1.3017,108.5764,60.5214,204.475
ukb_0125,104.2815,0.1794,1.4993,62.5826,0.1187,1.1501,0.1158,33.5907,33.5907,1.2689,105.7808,62.762,203.4024
ukb_0388,102.4264,0.1732,1.4901,63.1079,0.1266,1.1679,0.116,33.6682,33.6682,1.2945,103.9165,63.2811,202.1603
fast_0286,122.0024,0.1389,1.0545,43.8988,0.1086,0.8299,0.0797,33.4358,33.4358,0.9386,123.0569,44.0377,201.469
ukb_0211,108.3044,0.1958,1.5709,55.375,0.1285,1.127,0.1199,34.2131,34.2131,1.2556,109.8753,55.5708,200.9148
fast_0031,119.63,0.113,0.8756,45.9099,0.0791,0.6965,0.0796,32.7206,32.7206,0.7757,120.5057,46.0229,200.0248
ukb_0018,103.6159,0.1795,1.4295,57.6215,0.1239,1.097,0.1155,33.6591,33.6591,1.2209,105.0454,57.801,197.7265
ukb_0275,107.299,0.1974,1.6533,52.8168,0.1106,1.1548,0.1296,34.3465,34.3465,1.2654,108.9522,53.0142,197.5783
fast_0253,121.4129,0.1477,1.1352,40.6591,0.0939,0.9648,0.0748,33.0633,33.0633,1.0587,122.5482,40.8069,197.4771
fast_0056,122.1295,0.1309,1.0907,39.1195,0.0949,0.9549,0.0789,33.5063,33.5063,1.0497,123.2202,39.2504,197.0267
fast_0087,120.4013,0.1129,0.9784,40.2951,0.0902,0.8595,0.0779,32.857,32.857,0.9497,121.3796,40.408,195.5944
fast_0302,108.5354,0.1138,0.9387,52.2151,0.0918,0.7815,0.0764,32.801,32.801,0.8733,109.4742,52.329,195.4774
fast_0141,119.6633,0.1022,0.8217,41.3211,0.0778,0.6504,0.0698,32.8311,32.8311,0.7282,120.485,41.4233,195.4676
ukb_0077,102.5739,0.1799,1.4092,56.3093,0.1092,1.1034,0.1136,33.5455,33.5455,1.2125,103.9831,56.4892,195.2303
fast_0091,121.1431,0.1223,0.9718,38.2364,0.091,0.8394,0.1434,32.6726,32.6726,0.9304,122.1149,38.3587,194.0767
fast_0134,118.8509,0.1374,1.0674,38.5511,0.1003,0.8703,0.1219,33.6886,33.6886,0.9706,119.9183,38.6885,193.2661
fast_0282,116.0435,0.113,0.9318,41.6945,0.0948,0.749,0.0878,32.956,32.956,0.8437,116.9754,41.8076,192.5827
fast_0288,122.3436,0.1108,0.8713,34.3155,0.1086,0.7166,0.0816,32.6733,32.6733,0.8253,123.2148,34.4264,191.1397
fast_0324,122.6168,0.1058,0.884,32.6383,0.0791,0.7413,0.0731,33.5759,33.5759,0.8204,123.5008,32.744,190.6411
fast_0013,111.7516,0.1237,1.1285,43.4902,0.0924,0.9021,0.079,33.083,33.083,0.9945,112.8801,43.614,190.5716
fast_0120,109.7388,0.0999,0.9127,45.4496,0.089,0.6642,0.077,32.9168,32.9168,0.7532,110.6515,45.5495,189.871
fast_0057,112.2542,0.1277,1.017,42.2458,0.09,0.7859,0.0873,33.2644,33.2644,0.8759,113.2712,42.3735,189.785
fast_0016,109.8703,0.1175,1.0303,41.4678,0.0823,0.7787,0.0703,33.1818,33.1818,0.861,110.9006,41.5853,186.5287
fast_0005,111.2465,0.1227,0.9822,39.113,0.0833,0.7632,0.1137,34.1113,34.1113,0.8465,112.2286,39.2357,186.4221
fast_0268,134.6886,0.0641,0.546,16.6987,0.0645,0.4393,0.0457,31.8913,31.8913,0.5039,135.2345,16.7628,184.3925
fast_0150,105.1506,0.1256,1.0159,43.916,0.0837,0.8839,0.0773,33.082,33.082,0.9676,106.1665,44.0416,184.2576
fast_0166,113.2379,0.0987,0.9005,35.7288,0.1006,0.702,0.0723,32.3561,32.3561,0.8026,114.1384,35.8275,183.1246
ukb_0340,82.0455,0.2029,1.6791,63.2725,0.1337,1.2294,0.1345,34.1864,34.1864,1.3631,83.7247,63.4754,182.7495
ukb_0367,73.5652,0.1916,1.5609,70.7711,0.1177,1.1217,0.1265,33.7098,33.7098,1.2393,75.1261,70.9627,181.038
fast_0176,108.7934,0.1229,1.0707,36.8575,0.0944,0.8271,0.0809,32.8814,32.8814,0.9215,109.8642,36.9805,180.6476
fast_0242,105.1614,0.1279,1.1112,39.6446,0.0713,0.9323,0.0757,33.0482,33.0482,1.0036,106.2726,39.7725,180.0969
